feature_set,features,horizon,window_start,window_end,nobs,country_n,year_min,year_max,regressor_count,rank,full_rank,condition_number,columns,missing_countries,output_interaction_wald_h8,output_interaction_df,output_interaction_p_h8,output_interaction_rank,support_sample_n,support_p_h8,mahalanobis_h8,max_abs_feature_corr_h8,max_abs_profile_z_2025,status_y_h8,denom_t_y_h8,profile_ratio_p_y_h8,incremental_y_h8,K_Y_h8,status_g_h8,denom_t_g_h8,profile_ratio_p_g_h8,incremental_g_h8,K_G_h8,rank_pass,condition_pass,support_pass,profile_z_pass,denominator_pass,output_interaction_p_le_0_10,all_channel_diagnostics_pass,diagnostic_status,paper_path_status,selection_reason
trade,trade,8,2004,2017,378,27,2004,2017,8,8,True,26.921438632763223,shock_G_I|shock_G_C|trade_z_lag1|shock_G_I_x_trade|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,9.551428194373843,1,0.0019979390386958592,8,378,0.956246245168036,0.003010136635409263,0.0,0.16113002632933232,OK,35.272572929710165,0.0002456787316724718,0.3146672181758375,1.797839942667515,OK,35.272572929710165,0.06778144006837805,0.07196875783203047,0.7265590475601262,True,True,True,True,True,True,True,diagnostics_ok,scenario_channel,retained_by_h8_statistical_screen
liq,liq,8,2004,2017,378,27,2004,2017,8,8,True,18.445326176478783,shock_G_I|shock_G_C|liq_z_lag1|shock_G_I_x_liq|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,8.682748675022578,1,0.0032123614176739665,8,378,0.6783273220708312,0.17201484730628575,0.0,0.5745412059060926,OK,66.44246416124076,0.0003236603208907063,0.30141183370227487,2.235753747310901,OK,66.44246416124076,0.1882668664073186,0.051868487971466086,0.767188331518221,True,True,True,True,True,True,True,diagnostics_ok,scenario_channel,retained_by_h8_statistical_screen
debt,debt,8,2004,2017,378,27,2004,2017,8,8,True,25.974819518746465,shock_G_I|shock_G_C|debt_z_lag1|shock_G_I_x_debt|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,3.073500280024994,1,0.07957795840696462,8,378,0.9762080081774523,0.000889426840069538,0.0,0.08146573873820974,OK,98.14828323724679,0.15340884818084222,0.1971599224646352,1.7813435168502745,OK,98.14828323724679,0.04666800147446937,0.063377967025245,0.7526616391748677,True,True,True,True,True,True,True,diagnostics_ok,scenario_channel,retained_by_h8_statistical_screen
log_gdp_pc,log_gdp_pc,8,2004,2017,378,27,2004,2017,8,8,True,18.2075586641194,shock_G_I|shock_G_C|log_gdp_pc_z_lag1|shock_G_I_x_log_gdp_pc|dlog_gi_lag1|dlog_gc_lag1|dlog_y_lag1|i_rate_lag1,,0.5424963893521244,1,0.4613999792511977,8,378,0.768679124071996,0.08649663193696218,0.0,0.07395362627229204,OK,25.420559934011127,0.7105613629922716,0.05575070735127518,0.9426081164889786,OK,25.420559934011127,0.022271616772614244,0.1374930644069762,0.7349965523925807,True,True,True,True,True,False,False,diagnostic_issue,contextual_channel,documented_not_retained_by_h8_statistical_screen
